doc_id,title,author,publisher,pub_date,lang,doc_type,source_url,license,license_commercial_ok,family_codes,profile_codes,ingest_strategy,local_path,status,notes
forrester_2017_allometrie,Generic biomass allometry for European tree species,Forrester & al.,,2017-01-01,en,paper,,CC-BY,TRUE,C1,chercheur,link_only,,cleared,CC-BY presume a confirmer
larrieu_2018_ibp,Indice de Biodiversite Potentielle (IBP),Larrieu & al.,,2018-01-01,fr,paper,https://hal.science/hal-03449570,CC-BY,TRUE,N1|N2|N3|B,naturaliste|gestionnaire_onf,full,data-raw/references/Larrieu_IBP_CNPF_v3.pdf,cleared,CC-BY presume a confirmer ; PDF: guide IBP CNPF v3.2 (texte integral)
ipcc_2019_afolu,IPCC 2019 Refinement - AFOLU / forest,IPCC,IPCC,2019-01-01,en,report,https://www.ipcc-nggip.iges.or.jp/public/2019rf/,usage-libre-IPCC,TRUE,C1|E2,elu_regional|chercheur|investisseur,full,data-raw/references/IPCC_2019_V4_Ch04_ForestLand.pdf,cleared,Usage libre IPCC ; PDF: 2019 Refinement Vol.4 Ch.4 Forest Land
code_forestier_l121,"Code forestier - articles L121-1, L122-2",Republique francaise,Legifrance,,fr,regulation,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000025244092/,domaine-public,TRUE,S|P,proprietaire_prive|proprietaire_public|elu_local,link_only,,cleared,Domaine public - 1 chunk = 1 article
strategie_foret_ue_2021,Strategie de l'UE pour les forets - COM(2021) 572,Commission europeenne,EUR-Lex,2021-07-16,fr,regulation,https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=CELEX:52021DC0572,EUR-Lex-reutilisable,TRUE,Toutes,elu_local|elu_regional,full,data-raw/references/Strategie_foret_UE_2021_COM572.pdf,cleared,Reutilisation EUR-Lex autorisee ; PDF EUR-Lex (cellar COM(2021)572)
cnpf_psg,Plan Simple de Gestion (PSG) - contenu decret 19/07/2012,CNPF,CNPF,,fr,regulation,https://www.cnpf.fr/,admin,FALSE,Toutes,proprietaire_prive,link_only,,cleared,Modeles regionaux CRPF - pas de guide national unique
cnpf_cbps,Code des Bonnes Pratiques Sylvicoles (CBPS),CNPF,CNPF,,fr,manual,https://ifc.cnpf.fr/,admin,FALSE,P|C|R,proprietaire_prive,link_only,,cleared,8 fiches - forets <20-25 ha
cnpf_rtg,Reglement Type de Gestion (RTG),CNPF,CNPF,,fr,regulation,https://ifc.cnpf.fr/,admin,FALSE,P,gestionnaire_coop,link_only,,cleared,Coop / experts agrees
srgs_bfc_2024,Schema Regional de Gestion Sylvicole - Bourgogne-Franche-Comte,CNPF BFC,CNPF,2024-04-15,fr,regulation,https://bourgognefranchecomte.cnpf.fr/,acte-reglementaire,TRUE,Toutes,proprietaire_prive|gestionnaire_coop,link_only,,cleared,Arrete nov. 2023 - en vigueur 15/04/2024
onf_manuel_amenagement,Manuel d'amenagement forestier,ONF,ONF,,fr,manual,https://www.onf.fr/,admin,FALSE,Toutes,gestionnaire_onf,link_only,,cleared,Cadre d'ecriture des amenagements - PDF a localiser
onf_dra_sra,Directive / Schema Regional d'Amenagement (DRA/SRA),ONF,ONF,,fr,regulation,https://www.onf.fr/,acte-reglementaire,TRUE,Toutes,proprietaire_public|gestionnaire_onf|elu_local,link_only,,cleared,Cadres regionaux forets publiques
ofb_ct88_plans_gestion,Guide d'elaboration des plans de gestion des espaces naturels (CT88),OFB,OFB,2021-04-01,fr,manual,https://ct88.espaces-naturels.fr/,LO-Etalab-2.0,TRUE,B|N,naturaliste|proprietaire_public|elu_local,link_only,,cleared,Etalab 2.0 verifie (portail espaces-naturels.fr)
ofb_ct82_docob,Guide methodologique d'elaboration des DOCOB Natura 2000 (CT82),ATEN/RNF/OFB,OFB,2011-10-01,fr,manual,https://ct82.espaces-naturels.fr/,LO-Etalab-2.0,TRUE,B1|N,naturaliste|elu_local|gestionnaire_onf,link_only,,cleared,Etalab 2.0 - refonte OFB en cours
monnet_mermin_2014,Cross-correlation of diameter measures for co-registration of forest plots with ALS,Monnet J.-M. & Mermin E.,Forests 5(9),2014-01-01,en,paper,https://hal.science/hal-01086012,CC-BY,TRUE,P|C,gestionnaire_onf|technicien|chercheur,link_only,,cleared,Cite sur references CHM (spec 005) ; Forests 5(9):2307-2326 DOI 10.3390/f5092307 ; CC-BY (open HAL) ; corrige (etait Remote Sensing 6(8))
fassnacht_2016_species,Review of studies on tree species classification from remotely sensed data,Fassnacht & al.,Remote Sensing of Environment,2016-01-01,en,paper,https://doi.org/10.1016/j.rse.2016.08.013,copyright,FALSE,B|P,chercheur|technicien,abstract_only,,cleared,"Elsevier RSE - lien-seul + abstract ; cleared (override D5, 2026-06-13)"
mccool_1987_rusle,Revised slope steepness factor for the Universal Soil Loss Equation,McCool & al.,Transactions of the ASAE,1987-01-01,en,paper,,copyright,FALSE,F2,technicien|chercheur,abstract_only,,cleared,"RUSLE facteur LS - copyright ; cleared (override D5, 2026-06-13)"
beven_kirkby_1979_twi,A physically based variable contributing area model of basin hydrology,Beven K. & Kirkby M.,Hydrological Sciences Bulletin,1979-01-01,en,paper,,copyright,FALSE,W3,chercheur,abstract_only,,cleared,"TWI - copyright ; cleared (override D5, 2026-06-13)"
peiffer_2005_hetraies,"Bilan d'eau, de carbone et croissances comparees de deux hetraies de plaine","Peiffer M, Le Goff N, Nys C, Ottorini J-M, Granier A",Revue forestiere francaise LVII,2005-01-01,fr,paper,,copyright,FALSE,W|C,technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
granier_1995_bilan_hydrique,Modelisation du bilan hydrique des peuplements forestiers,"Granier A, Badeau V, Breda N",Revue forestiere francaise XLVII,1995-01-01,fr,paper,,copyright,FALSE,W|R3,gestionnaire_onf|technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; Reference fondatrice BILJOU ; cleared (override D5, 2026-06-13)"
aussenac_1980_interception,Interception des precipitations et evapotranspiration reelle dans des peuplements de feuillus et de resineux,"Aussenac G, Boulangeat C",Annales des Sciences forestieres 37(2),1980-01-01,fr,paper,,copyright,FALSE,W,technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
breda_2006_drought_review,"Temperate forest trees and stands under severe drought: a review of ecophysiological responses, adaptation processes and long-term consequences","Breda N, Huc R, Granier A, Dreyer E",Annals of Forest Science 63,2006-01-01,en,paper,,copyright,FALSE,R3|W,gestionnaire_onf|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
granier_2000_water_balance_beech,"Water balance, transpiration and canopy conductance in two beech stands","Granier A, Biron P, Lemoine D",Agricultural and Forest Meteorology 100,2000-01-01,en,paper,,copyright,FALSE,W|C,technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
bertin_2013_bilan_hydrique_aforce,Le bilan hydrique des peuplements forestiers. Etat des connaissances scientifiques et techniques,"Bertin S, Balandier P, Becquey J, Bonal D, Breda N, Perrier C, Riou-Nivert P, Sevrin E",RMT AFORCE,2013-01-01,fr,report,,copyright,FALSE,W|R3,gestionnaire_onf|technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; 190 p ; cleared (override D5, 2026-06-13)"
courbet_2022_foret_eau_quae,Foret et changement climatique - Comprendre et modeliser le fonctionnement hydrique des arbres,"Courbet F, Doussan C, Limousin J-M, Martin-St Paul N, Simioni G",Editions Quae,2022-01-01,fr,report,,copyright,FALSE,W|R3,gestionnaire_onf|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; Collection Syntheses, 144 p ; cleared (override D5, 2026-06-13)"
aussenac_1979_bioclimatique,Etude bioclimatique d'une futaie feuillue II. Etude de l'humidite du sol de l'evapotranspiration reelle,"Aussenac G, Granier A",Annales des Sciences Forestieres 36,1979-01-01,fr,paper,,copyright,FALSE,W,technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
breda_1993_water_transfer_oak,Water transfer in a mature oak stand (Quercus petraea): seasonal evolution and effects of a severe drought,"Breda N, Cochard H, Dreyer E, Granier A",Canadian Journal of Forest Research 23,1993-01-01,en,paper,,copyright,FALSE,W|R3,technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
granier_1996_sapflow,Transpiration of trees and forest stands: short and long-term monitoring using sapflow methods,"Granier A, Biron P, Breda N, Pontailler J-Y, Saugier B",Global Change Biology 2(3),1996-01-01,en,paper,,copyright,FALSE,W|C,technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
granier_2000_canopy_conductance,"A generic model of forest canopy conductance dependent on climate, soil water availability and leaf area index","Granier A, Loustau D, Breda N",Annals of Forest Science 57(8),2000-01-01,en,paper,,copyright,FALSE,W|C,technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
lagergren_2002_transpiration,Transpiration response to soil moisture in pine and spruce trees in Sweden,"Lagergren F, Lindroth A",Agricultural and Forest Meteorology 112(2),2002-01-01,en,paper,,copyright,FALSE,W,technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
vincke_2005_evapotranspiration_i,Evapotranspiration of a declining Quercus robur stand from 1999 to 2001. I. Trees and forest floor daily transpiration,"Vincke C, Breda N, Granier A, Devillez F",Annals of Forest Science 62(6),2005-01-01,en,paper,,copyright,FALSE,W|R3,technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
aussenac_1970_couvert_precipitations,Action du couvert forestier sur la distribution au sol des precipitations,Aussenac G,Annales des sciences forestieres 27(4),1970-01-01,fr,paper,,copyright,FALSE,W,technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
ulrich_1995_interception_renecofor,Interception des pluies en foret : facteurs determinants. RENECOFOR sous-reseau CATAENAT,"Ulrich E, Lelong N, Lanier M, Schneider",ONF Bulletin technique n.30,1995-01-01,fr,report,https://appgeodb.nancy.inrae.fr/biljou/pdf/Ulrich_et_al_1995.pdf,LO-Etalab,TRUE,W,technicien|chercheur,full,data-raw/references/Ulrich_et_al_1995.pdf,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) ; cleared Pascal 2026-06-12 (licence LO-Etalab presumee - confirmer la variante ; attacher PDF/URL pour ingestion)"
llorens_1997_interception_pinus,Rainfall interception by a Pinus sylvestris forest patch overgrown in a Mediterranean mountainous abandoned area. 2. Gash's analytical model,Llorens P,Journal of Hydrology 199(3-4),1997-01-01,en,paper,,copyright,FALSE,W,technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
loustau_1992_interception_pine,"Interception loss, throughfall and stemflow in a maritime pine stand. 1. Variability of throughfall and stemflow beneath the pine canopy","Loustau D, Berbigier P, Granier A, Elhadjmoussa F",Journal of Hydrology 138,1992-01-01,en,paper,,copyright,FALSE,W,technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
rowe_1983_interception_beech,"Rainfall interception by an evergreen beech forest, Nelson, New Zealand",Rowe L K,Journal of Hydrology 66,1983-01-01,en,paper,,copyright,FALSE,W,technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
badeau_2008_renecofor_faisabilite,"RENECOFOR - Etude critique de faisabilite sur la comparabilite des donnees meteorologiques, l'estimation de la reserve utile en eau du sol et le calcul des volumes d'eau drainee","Badeau V, Ulrich E",Office National des Forets,2008-01-01,fr,report,https://hal.inrae.fr/hal-02813279,LO-Etalab,TRUE,W|F,gestionnaire_onf|technicien|chercheur,link_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) ; ISBN 978-2-84207-323-7 ; cleared Pascal 2026-06-12 (licence LO-Etalab presumee - confirmer la variante ; attacher PDF/URL pour ingestion)"
badeau_2008_modelisation_bilan,Modelisation du bilan hydrique : etape cle de la determination des parametres et des variables d'entree,"Badeau V, Breda N",RDV techniques hors-serie n.4 ONF,2008-01-01,fr,report,https://appgeodb.nancy.inrae.fr/biljou/pdf/Badeau_Br%C3%A9da_2008_RENECOFOR.pdf,LO-Etalab,TRUE,W,gestionnaire_onf|technicien|chercheur,full,data-raw/references/Badeau_Breda_2008_RENECOFOR.pdf,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) ; cleared Pascal 2026-06-12 (licence LO-Etalab presumee - confirmer la variante ; attacher PDF/URL pour ingestion)"
breda_2002_reservoir_sols,Reservoir en eau des sols forestiers temperes : specificite et difficultes d'evaluation,"Breda N, Lefevre Y, Badeau V",La Houille Blanche 3-2002,2002-01-01,fr,paper,,copyright,FALSE,W|F,technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
brethes_1997_renecofor_pedologie,RENECOFOR - Caracteristiques pedologiques des 102 peuplements du reseau,"Brethes A, Ulrich E",Office National des Forets,1997-01-01,fr,report,,LO-Etalab,TRUE,F|W,gestionnaire_onf|technicien|chercheur,link_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) ; ISBN 2-84207-112-3 ; cleared Pascal 2026-06-12 (licence LO-Etalab presumee - confirmer la variante ; attacher PDF/URL pour ingestion)"
quentin_2001_sols_hesse,Etude des sols de la foret de Hesse (Lorraine). Contribution a l'etude du bilan hydrique,"Quentin C, Bigorre F, Breda N, Granier A, Teissier D",Etude et Gestion des Sols 8,2001-01-01,fr,paper,,copyright,FALSE,F|W,technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
garbaye_1997_ectomycorhizes,Le role des ectomycorhizes dans l'utilisation de l'eau par les arbres forestiers,"Garbaye J, Guehl J M",Revue Forestiere Francaise XLIX sp 1997,1997-01-01,fr,paper,,copyright,FALSE,W|B,naturaliste|chercheur|technicien,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
breda_2008_pompe_biologique,Une pompe biologique performante,"Breda N, Zapater M, Barlet C, Lefevre Y, Granier A",SEC2008 Volume 1,2008-01-01,fr,paper,,copyright,FALSE,W,technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
breda_1995_soil_water_oak,Soil water dynamics in an oak stand,"Breda N, Granier A, Barataud F, Moyne C",Plant and Soil 172(1),1995-01-01,en,paper,,copyright,FALSE,W,technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
cermak_2001_floodplain,Water balance of a Southern Moravian floodplain forest,"Cermak J, Prax A",Annals of Forest Science 58(1),2001-01-01,en,paper,,copyright,FALSE,W|W2,chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
rambal_1984_root_water_uptake,Water balance and pattern of root water uptake by a Quercus coccifera L. evergreen scrub,Rambal S,Oecologia 62,1984-01-01,en,paper,,copyright,FALSE,W|R3,chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
vincke_2005_evapotranspiration_ii,Evapotranspiration of a declining Quercus robur stand from 1991 to 2001. II. Daily evapotranspiration and soil water dynamics,"Vincke C, Breda N, Granier A, Devillez F",Annals of Forest Science 62(7),2005-01-01,en,paper,,copyright,FALSE,W|R3,technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
aussenac_1995_structure_couvert,"Effets des modifications de la structure du couvert forestier sur le bilan hydrique, l'etat hydrique des arbres et la croissance","Aussenac G, Granier A, Breda N",Revue Forestiere Francaise XLVII,1995-01-01,fr,paper,,copyright,FALSE,W|C,gestionnaire_onf|technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
breda_1999_indice_foliaire,"L'indice foliaire des couverts forestiers : mesure, variabilite et role fonctionnel",Breda N,Revue Forestiere Francaise LI-2,1999-01-01,fr,paper,,copyright,FALSE,C|W,technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
breda_2002_mesure_indice_foliaire,Mesure de l'indice foliaire en foret,"Breda N, Soudani K, Bergonzini J C",GIP-ECOFOR,2002-01-01,fr,manual,,copyright,FALSE,C|W,technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; ISBN 2-914770-02-2 ; cleared (override D5, 2026-06-13)"
lebourgeois_2002_phenologie,Premieres observations phenologiques des peuplements du reseau national de suivi a long terme des ecosystemes forestiers,"Lebourgeois F, Differt J, Granier A, Breda N, Ulrich E",Revue Forestiere Francaise LIV,2002-01-01,fr,paper,,copyright,FALSE,T|C,technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
aussenac_2000_microclimate,Interactions between forest stands and microclimate: ecophysiological aspects and consequences for silviculture,Aussenac G,Annals of Forest Science 57,2000-01-01,en,paper,,copyright,FALSE,A|W,technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
breda_2008_lai_ecology,Leaf area index in ecology,Breda N,Encyclopedia of Ecology (Elsevier),2008-01-01,en,report,,copyright,FALSE,C,chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
pitman_2010_litterfall,Sampling and analysing of litterfall,"Pitman R, Bastrup-Birk A, Breda N, Rautio P",ICP Forests Manual,2010-01-01,en,manual,,copyright,FALSE,C,technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; ISBN 978-3-926301-03-1 ; cleared (override D5, 2026-06-13)"
breda_2003_lai_review,"Ground-based measurements of leaf area index: a review of methods, instruments and current controversies",Breda N J J,Journal of Experimental Botany 54(392),2003-01-01,en,paper,,copyright,FALSE,C,technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
bouriaud_2003_lai_litter,Leaf area index from litter collection: impact of specific leaf area variability within a beech stand,"Bouriaud O, Soudani K, Breda N",Canadian Journal of Remote Sensing 29(3),2003-01-01,en,paper,,copyright,FALSE,C,chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
soudani_2008_greenup_modis,Evaluation of the onset of green-up in temperate deciduous broadleaf forests derived from MODIS data,"Soudani K, le Maire G, Dufrene E, Francois C, Delpierre N, Ulrich E, Cecchini S",Remote Sensing of Environment 112,2008-01-01,en,paper,,copyright,FALSE,C2|T2,chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
badeau_2017_plantes_saisons,Les plantes au rythme des saisons,"Badeau V, Bonhomme M, Bonne F et al.",Biotope Editions,2017-01-01,fr,report,,copyright,FALSE,T|C,naturaliste|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; 336 p ; cleared (override D5, 2026-06-13)"
peiffer_2008_renecofor_meteo,"RENECOFOR - Monitoring local forest weather conditions (France and Luxemburg), report for 1995-2004","Peiffer M, Badeau V, Breda N, Ulrich E",Office National des Forets,2008-01-01,en,report,https://hal.inrae.fr/hal-03758947,LO-Etalab,TRUE,W|R3,gestionnaire_onf|technicien|chercheur,link_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) ; ISBN 978-2-84207-325-1 ; cleared Pascal 2026-06-12 (licence LO-Etalab presumee - confirmer la variante ; attacher PDF/URL pour ingestion)"
allen_1998_fao56_evapotranspiration,Crop evapotranspiration - Guidelines for computing crop water requirements - FAO Irrigation and drainage paper 56,"Allen R G, Pereira L S, Raes D, Smith M",FAO,1998-01-01,en,report,https://www.fao.org/3/x0490e/x0490e00.htm,CC-BY-NC,FALSE,W,technicien|chercheur,full,data-raw/references/FAO56_x0490e.pdf,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) ; cleared Pascal 2026-06-12 (licence CC-BY-NC presumee - confirmer la variante ; attacher PDF/URL pour ingestion) ; PDF: miroir public (contenu FAO 56 identique)"
ballif_1983_lysimetrie_craie,"Lysimetrie en sol de craie non remanie. I - Drainage, evaporation et role du couvert vegetal. Resultats 1973-1980","Ballif J L, Dutil P",Agronomie 3,1983-01-01,fr,paper,,copyright,FALSE,W|F,technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
beven_1982_macropores,Macropores and water flow in soils,"Beven K, Germann P",Water Resources Research 18(5),1982-01-01,en,paper,,copyright,FALSE,W|W3,chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
klinge_2001_drainage_simulation,Simulation of water drainage of a rain forest and forest conversion plots using a soil water model,"Klinge R, Schmidt J, Folster H",Journal of Hydrology 246,2001-01-01,en,paper,,copyright,FALSE,W,chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
minderman_1968_drainage_lysimeters,"The amount of drainage water and solutes from lysimeters planted with either oak, pine or natural dune vegetation, or without any vegetation cover","Minderman G, Leeflang K W F",Plant and Soil XXVIII(1),1968-01-01,en,paper,,copyright,FALSE,W,chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
bernier_2002_canopy_gas_exchange,Validation of a canopy gas exchange model and derivation of a soil water modifier for transpiration for sugar maple,"Bernier P, Breda N, Granier A, Raulier F, Mathieu F",Forest Ecology and Management 163(1),2002-01-01,en,paper,,copyright,FALSE,R3|W,chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; cleared (override D5, 2026-06-13)"
granier_1999_lumped_water_balance,A lumped water balance model to evaluate duration and intensity of drought constraints in forest stands,"Granier A, Breda N, Biron P, Villette S",Ecological Modelling 116,1999-01-01,en,paper,,copyright,FALSE,R3|W,gestionnaire_onf|technicien|chercheur,abstract_only,,cleared,"Cite sur BILJOU (INRAE Nancy, modele bilan hydrique) - licence a confirmer ; Modele BILJOU (papier de reference) ; cleared (override D5, 2026-06-13)"
